qid,query,k,rank,score,doc_id,chunk_id,word_count
q01,How should a revolutionary organization be structured?,5,1,0.618381142616272,ccom_29,ccom_29_0137,392
q01,How should a revolutionary organization be structured?,5,2,0.6139702200889587,ccom_29,ccom_29_0123,460
q01,How should a revolutionary organization be structured?,5,3,0.6129785776138306,ccom_29,ccom_29_0139,460
q01,How should a revolutionary organization be structured?,5,4,0.5938133597373962,ccom_32,ccom_32_0108,460
q01,How should a revolutionary organization be structured?,5,5,0.592607855796814,ccom_29,ccom_29_0153,372
q01,How should a revolutionary organization be structured?,10,1,0.618381142616272,ccom_29,ccom_29_0137,392
q01,How should a revolutionary organization be structured?,10,2,0.6139702200889587,ccom_29,ccom_29_0123,460
q01,How should a revolutionary organization be structured?,10,3,0.6129785776138306,ccom_29,ccom_29_0139,460
q01,How should a revolutionary organization be structured?,10,4,0.5938133597373962,ccom_32,ccom_32_0108,460
q01,How should a revolutionary organization be structured?,10,5,0.592607855796814,ccom_29,ccom_29_0153,372
q01,How should a revolutionary organization be structured?,10,6,0.5922863483428955,ccom_29,ccom_29_0111,460
q01,How should a revolutionary organization be structured?,10,7,0.5715585350990295,ccom_50,ccom_50_0410,460
q01,How should a revolutionary organization be structured?,10,8,0.5709725022315979,ccom_29,ccom_29_0172,460
q01,How should a revolutionary organization be structured?,10,9,0.5645264387130737,ccom_29,ccom_29_0121,460
q01,How should a revolutionary organization be structured?,10,10,0.5620648860931396,ccom_29,ccom_29_0130,262
q02,What is the role of leadership in class conscious movements?,5,1,0.602267324924469,ccom_08,ccom_08_0113,401
q02,What is the role of leadership in class conscious movements?,5,2,0.5896118879318237,ccom_50,ccom_50_0406,460
q02,What is the role of leadership in class conscious movements?,5,3,0.5747865438461304,ccom_50,ccom_50_0519,460
q02,What is the role of leadership in class conscious movements?,5,4,0.571541428565979,ccom_42,ccom_42_0011,374
q02,What is the role of leadership in class conscious movements?,5,5,0.5701063871383667,ccom_50,ccom_50_0410,460
q02,What is the role of leadership in class conscious movements?,10,1,0.602267324924469,ccom_08,ccom_08_0113,401
q02,What is the role of leadership in class conscious movements?,10,2,0.5896118879318237,ccom_50,ccom_50_0406,460
q02,What is the role of leadership in class conscious movements?,10,3,0.5747865438461304,ccom_50,ccom_50_0519,460
q02,What is the role of leadership in class conscious movements?,10,4,0.571541428565979,ccom_42,ccom_42_0011,374
q02,What is the role of leadership in class conscious movements?,10,5,0.5701063871383667,ccom_50,ccom_50_0410,460
q02,What is the role of leadership in class conscious movements?,10,6,0.567589282989502,ccom_50,ccom_50_0155,373
q02,What is the role of leadership in class conscious movements?,10,7,0.5607591867446899,ccom_24_1,ccom_24_1_0011,498
q02,What is the role of leadership in class conscious movements?,10,8,0.5598288774490356,ccom_08,ccom_08_0115,411
q02,What is the role of leadership in class conscious movements?,10,9,0.5563732385635376,ccom_29,ccom_29_0112,460
q02,What is the role of leadership in class conscious movements?,10,10,0.5530818700790405,ccom_50,ccom_50_0511,460
q03,How can responsibilities be distributed without creating hierarchy abuse?,5,1,0.4189222455024719,ccom_13,ccom_13_0024,249
q03,How can responsibilities be distributed without creating hierarchy abuse?,5,2,0.3831736743450165,ccom_16,ccom_16_0004,281
q03,How can responsibilities be distributed without creating hierarchy abuse?,5,3,0.3795846998691559,ccom_08,ccom_08_0123,299
q03,How can responsibilities be distributed without creating hierarchy abuse?,5,4,0.3468848466873169,ccom_50,ccom_50_0367,460
q03,How can responsibilities be distributed without creating hierarchy abuse?,5,5,0.3418402671813965,ccom_08,ccom_08_0125,532
q03,How can responsibilities be distributed without creating hierarchy abuse?,10,1,0.4189222455024719,ccom_13,ccom_13_0024,249
q03,How can responsibilities be distributed without creating hierarchy abuse?,10,2,0.3831736743450165,ccom_16,ccom_16_0004,281
q03,How can responsibilities be distributed without creating hierarchy abuse?,10,3,0.3795846998691559,ccom_08,ccom_08_0123,299
q03,How can responsibilities be distributed without creating hierarchy abuse?,10,4,0.3468848466873169,ccom_50,ccom_50_0367,460
q03,How can responsibilities be distributed without creating hierarchy abuse?,10,5,0.3418402671813965,ccom_08,ccom_08_0125,532
q03,How can responsibilities be distributed without creating hierarchy abuse?,10,6,0.3415588438510895,ccom_35,ccom_35_0326,211
q03,How can responsibilities be distributed without creating hierarchy abuse?,10,7,0.33505934476852417,ccom_50,ccom_50_0501,460
q03,How can responsibilities be distributed without creating hierarchy abuse?,10,8,0.33118364214897156,ccom_43,ccom_43_0023,117
q03,How can responsibilities be distributed without creating hierarchy abuse?,10,9,0.3261442184448242,Seale - Seize The Time The Story of the Black Panther Party,Seale - Seize The Time The Story of the Black Panther Party_0044,422
q03,How can responsibilities be distributed without creating hierarchy abuse?,10,10,0.32355716824531555,ccom_50,ccom_50_0229,460
q04,How should decision-making processes be organized?,5,1,0.40380656719207764,ccom_13,ccom_13_0024,249
q04,How should decision-making processes be organized?,5,2,0.347037672996521,ccom_45,ccom_45_0004,489
q04,How should decision-making processes be organized?,5,3,0.33577877283096313,ccom_41,ccom_41_0099,71
q04,How should decision-making processes be organized?,5,4,0.33374691009521484,ccom_50,ccom_50_0367,460
q04,How should decision-making processes be organized?,5,5,0.3166244626045227,ccom_14,ccom_14_0019,531
q04,How should decision-making processes be organized?,10,1,0.40380656719207764,ccom_13,ccom_13_0024,249
q04,How should decision-making processes be organized?,10,2,0.347037672996521,ccom_45,ccom_45_0004,489
q04,How should decision-making processes be organized?,10,3,0.33577877283096313,ccom_41,ccom_41_0099,71
q04,How should decision-making processes be organized?,10,4,0.33374691009521484,ccom_50,ccom_50_0367,460
q04,How should decision-making processes be organized?,10,5,0.3166244626045227,ccom_14,ccom_14_0019,531
q04,How should decision-making processes be organized?,10,6,0.3123679459095001,ccom_16,ccom_16_0004,281
q04,How should decision-making processes be organized?,10,7,0.3039085268974304,ccom_41,ccom_41_0047,390
q04,How should decision-making processes be organized?,10,8,0.3037869334220886,ccom_08,ccom_08_0093,465
q04,How should decision-making processes be organized?,10,9,0.3014472723007202,ccom_50,ccom_50_0375,460
q04,How should decision-making processes be organized?,10,10,0.29922088980674744,ccom_40,ccom_40_0014,527
q05,How can a power-critical organizational structure be ensured?,5,1,0.49441730976104736,ccom_13,ccom_13_0024,249
q05,How can a power-critical organizational structure be ensured?,5,2,0.4624330401420593,ccom_16,ccom_16_0004,281
q05,How can a power-critical organizational structure be ensured?,5,3,0.4110344350337982,ccom_08,ccom_08_0159,425
q05,How can a power-critical organizational structure be ensured?,5,4,0.40576696395874023,ccom_16,ccom_16_0016,460
q05,How can a power-critical organizational structure be ensured?,5,5,0.39559364318847656,ccom_08,ccom_08_0123,299
